"Field name","Sample ident","Year","Country","Site","Trial ID number","Date","Hour","Plot number","Row spacing","Plant spacing","Treatment,water,ID","Treatment,water,Name","Treatment,irrigation,ID","Treatment,irrigation,Name","Treatment,strategy,ID","Treatment,strategy,Name","Replicate,ID","Replicate,Name"
"Unit","","","","","","","","","cm","cm","","","","","","","",""
"Unique name","SampleIdent","TrialYear","TrialCountryID","TrialSiteID","TrialID","RecordingDate","RecordingHour","PlotID","RowSpacing","PlantSpacing","TreatmentWaterID","TrialTreatmentWaterName","TreatmentIrrigationID","TrialTreatmentIrrigationName","TreatmentStrategyID","TrialTreatmentStrategyName","ReplicateID","TrialReplicateName"
1,"",2006,"CN","CAAS",1,"22/02/2006",2,1,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
2,"",2006,"CN","CAAS",1,"22/02/2006",2,2,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
3,"",2006,"CN","CAAS",1,"22/02/2006",2,3,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
4,"",2006,"CN","CAAS",1,"22/02/2006",2,4,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
5,"",2006,"CN","CAAS",1,"23/02/2006",2,5,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
6,"",2006,"CN","CAAS",1,"23/02/2006",2,6,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
7,"",2006,"CN","CAAS",1,"23/02/2006",2,7,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
8,"",2006,"CN","CAAS",1,"23/02/2006",2,8,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
9,"",2006,"CN","CAAS",1,"24/02/2006",2,9,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
10,"",2006,"CN","CAAS",1,"24/02/2006",2,10,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
11,"",2006,"CN","CAAS",1,"24/02/2006",2,11,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
12,"",2006,"CN","CAAS",1,"24/02/2006",2,12,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
13,"",2006,"CN","CAAS",1,"25/02/2006",2,13,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
14,"",2006,"CN","CAAS",1,"25/02/2006",2,14,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
15,"",2006,"CN","CAAS",1,"25/02/2006",2,15,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
16,"",2006,"CN","CAAS",1,"25/02/2006",2,16,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
17,"",2006,"CN","CAAS",1,"26/02/2006",2,17,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
18,"",2006,"CN","CAAS",1,"26/02/2006",2,18,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
19,"",2007,"CN","CAU",1,"20/04/2007",12,1,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
20,"",2007,"CN","CAU",1,"20/04/2007",12,2,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
21,"",2007,"CN","CAU",1,"20/04/2007",12,3,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
22,"",2007,"CN","CAU",1,"20/04/2007",12,4,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
23,"",2007,"CN","CAU",1,"20/04/2007",12,5,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
24,"",2007,"CN","CAU",1,"20/04/2007",12,6,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
25,"",2007,"CN","CAU",1,"20/04/2007",12,7,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
26,"",2007,"CN","CAU",1,"20/04/2007",12,8,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
27,"",2007,"CN","CAU",1,"20/04/2007",12,9,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
28,"",2007,"CN","CAU",1,"20/04/2007",12,10,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
29,"",2007,"CN","CAU",1,"20/04/2007",12,11,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
30,"",2007,"CN","CAU",1,"20/04/2007",12,12,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
31,"",2007,"CN","CAU",1,"20/04/2007",12,13,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
32,"",2007,"CN","CAU",1,"20/04/2007",12,14,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
33,"",2007,"CN","CAU",1,"20/04/2007",12,15,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
34,"",2007,"CN","CAU",1,"20/04/2007",12,16,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
35,"",2007,"CN","CAU",1,"20/04/2007",12,17,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
36,"",2007,"CN","CAU",1,"20/04/2007",12,18,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
37,"",2007,"CN","CAU",1,"20/04/2007",12,19,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
38,"",2007,"CN","CAU",1,"20/04/2007",12,20,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
39,"",2007,"CN","CAU",1,"20/04/2007",12,21,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
40,"",2007,"CN","CAU",1,"20/04/2007",12,22,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
41,"",2007,"CN","CAU",1,"20/04/2007",12,23,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
42,"",2007,"CN","CAU",1,"20/04/2007",12,24,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
43,"",2007,"CN","CAU",1,"20/04/2007",12,25,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
44,"",2007,"CN","CAU",1,"20/04/2007",12,26,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
45,"",2007,"CN","CAU",1,"20/04/2007",12,27,80,50,16,"Primary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
46,"",2007,"CN","CAU",1,"20/04/2007",12,28,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
47,"",2007,"CN","CAU",1,"20/04/2007",12,29,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
48,"",2007,"CN","CAU",1,"20/04/2007",12,30,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
49,"",2007,"CN","CAU",1,"20/04/2007",12,31,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
50,"",2007,"CN","CAU",1,"20/04/2007",12,32,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
51,"",2007,"CN","CAU",1,"20/04/2007",12,33,80,50,17,"Primary treated waste water with sand filter+UV",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
52,"",2008,"CN","CAAS",1,"10/03/2008",12,1,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
53,"",2008,"CN","CAAS",1,"10/03/2008",12,2,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
54,"",2008,"CN","CAAS",1,"10/03/2008",12,3,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
55,"",2008,"CN","CAAS",1,"10/03/2008",12,4,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
56,"",2008,"CN","CAAS",1,"10/03/2008",12,5,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
57,"",2008,"CN","CAAS",1,"10/03/2008",12,6,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
58,"",2008,"CN","CAAS",1,"10/03/2008",12,7,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
59,"",2008,"CN","CAAS",1,"10/03/2008",12,8,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
60,"",2008,"CN","CAAS",1,"10/03/2008",12,9,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
61,"",2008,"CN","CAAS",1,"10/03/2008",12,10,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
62,"",2008,"CN","CAAS",1,"10/03/2008",12,11,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
63,"",2008,"CN","CAAS",1,"10/03/2008",12,12,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
64,"",2008,"CN","CAAS",1,"10/03/2008",12,13,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
65,"",2008,"CN","CAAS",1,"10/03/2008",12,14,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
66,"",2008,"CN","CAAS",1,"10/03/2008",12,15,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
67,"",2008,"CN","CAAS",1,"10/03/2008",12,16,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
68,"",2008,"CN","CAAS",1,"10/03/2008",12,17,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
69,"",2008,"CN","CAAS",1,"10/03/2008",12,18,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
70,"",2008,"CN","CAAS",1,"10/03/2008",12,19,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
71,"",2008,"CN","CAAS",1,"10/03/2008",12,20,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
72,"",2008,"CN","CAAS",1,"10/03/2008",12,21,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
73,"",2008,"CN","CAAS",1,"10/03/2008",12,22,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
74,"",2008,"CN","CAAS",1,"10/03/2008",12,23,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
75,"",2008,"CN","CAAS",1,"10/03/2008",12,24,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
76,"",2008,"CN","CAAS",1,"27/06/2008",12,1,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
77,"",2008,"CN","CAAS",1,"27/06/2008",12,2,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
78,"",2008,"CN","CAAS",1,"27/06/2008",12,3,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
79,"",2008,"CN","CAAS",1,"27/06/2008",12,4,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
80,"",2008,"CN","CAAS",1,"27/06/2008",12,5,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
81,"",2008,"CN","CAAS",1,"27/06/2008",12,6,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
82,"",2008,"CN","CAAS",1,"27/06/2008",12,7,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
83,"",2008,"CN","CAAS",1,"27/06/2008",12,8,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
84,"",2008,"CN","CAAS",1,"27/06/2008",12,9,75,30,18,"Secondary treated waste water with sand filter+HM dosing+HM removal+UV",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
85,"",2008,"CN","CAAS",1,"27/06/2008",12,10,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
86,"",2008,"CN","CAAS",1,"27/06/2008",12,11,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
87,"",2008,"CN","CAAS",1,"27/06/2008",12,12,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
88,"",2008,"CN","CAAS",1,"27/06/2008",12,13,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
89,"",2008,"CN","CAAS",1,"27/06/2008",12,14,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
90,"",2008,"CN","CAAS",1,"27/06/2008",12,15,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
91,"",2008,"CN","CAAS",1,"27/06/2008",12,16,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
92,"",2008,"CN","CAAS",1,"27/06/2008",12,17,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
93,"",2008,"CN","CAAS",1,"27/06/2008",12,18,75,30,19,"Secondary treated waste water with sand filter+HM dosing+HM removal",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
94,"",2008,"CN","CAAS",1,"27/06/2008",12,19,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
95,"",2008,"CN","CAAS",1,"27/06/2008",12,20,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
96,"",2008,"CN","CAAS",1,"27/06/2008",12,21,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
97,"",2008,"CN","CAAS",1,"27/06/2008",12,22,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
98,"",2008,"CN","CAAS",1,"27/06/2008",12,23,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
99,"",2008,"CN","CAAS",1,"27/06/2008",12,24,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
100,"",2008,"CN","CAU",1,"25/03/2008",12,1,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
101,"",2008,"CN","CAU",1,"25/03/2008",12,2,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
102,"",2008,"CN","CAU",1,"25/03/2008",12,3,80,50,1,"Tap water",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
103,"",2008,"CN","CAU",1,"25/03/2008",12,4,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
104,"",2008,"CN","CAU",1,"25/03/2008",12,5,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
105,"",2008,"CN","CAU",1,"25/03/2008",12,6,80,50,1,"Tap water",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
106,"",2008,"CN","CAU",1,"25/03/2008",12,7,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
107,"",2008,"CN","CAU",1,"25/03/2008",12,8,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
108,"",2008,"CN","CAU",1,"25/03/2008",12,9,80,50,1,"Tap water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
109,"",2008,"CN","CAU",1,"25/03/2008",12,10,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
110,"",2008,"CN","CAU",1,"25/03/2008",12,11,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
111,"",2008,"CN","CAU",1,"25/03/2008",12,12,80,50,1,"Tap water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
112,"",2008,"CN","CAU",1,"25/03/2008",12,13,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",1,"Rep. 1"
113,"",2008,"CN","CAU",1,"25/03/2008",12,14,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",2,"Rep. 2"
114,"",2008,"CN","CAU",1,"25/03/2008",12,15,80,50,1,"Tap water",1,"Subsurface drip",3,"Deficit Irrigation",3,"Rep. 3"
115,"",2008,"CN","CAU",1,"25/03/2008",12,16,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
116,"",2008,"CN","CAU",1,"25/03/2008",12,17,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
117,"",2008,"CN","CAU",1,"25/03/2008",12,18,80,50,9,"Primary treated waste water",4,"Furrow",2,"Partial rootzone drying",3,"Rep. 3"
118,"",2008,"CN","CAU",1,"25/03/2008",12,19,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
119,"",2008,"CN","CAU",1,"25/03/2008",12,20,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
120,"",2008,"CN","CAU",1,"25/03/2008",12,21,80,50,9,"Primary treated waste water",4,"Furrow",1,"Full irrigated",3,"Rep. 3"
121,"",2008,"CN","CAU",1,"25/03/2008",12,22,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
122,"",2008,"CN","CAU",1,"25/03/2008",12,23,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
123,"",2008,"CN","CAU",1,"25/03/2008",12,24,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
124,"",2008,"CN","CAU",1,"25/03/2008",12,25,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
125,"",2008,"CN","CAU",1,"25/03/2008",12,26,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
126,"",2008,"CN","CAU",1,"25/03/2008",12,27,80,50,20,"Primary treated waste water with sand filter+HM removal",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
127,"",2008,"CN","CAU",1,"25/03/2008",12,28,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
128,"",2008,"CN","CAU",1,"25/03/2008",12,29,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
129,"",2008,"CN","CAU",1,"25/03/2008",12,30,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",2,"Partial rootzone drying",3,"Rep. 3"
130,"",2008,"CN","CAU",1,"25/03/2008",12,31,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
131,"",2008,"CN","CAU",1,"25/03/2008",12,32,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
132,"",2008,"CN","CAU",1,"25/03/2008",12,33,80,50,21,"Primary treated waste water with sand filter+HM removal+UV",1,"Subsurface drip",1,"Full irrigated",3,"Rep. 3"
